ID,Gender,Birth Date,Jobcat,Job Time,Prev Exp,Minority
93849,m,46207,3,78,314,0
49277,f,43695,1,89,329,0
45112,f,42498,2,64,102,0
31610,m,44891,2,92,287,1
73645,f,47060,2,62,400,1
46131,m,40090,2,74,235,1
40897,f,42366,1,77,68,0
42273,m,49964,2,75,358,0
96611,m,44437,3,72,159,1
96969,f,43305,3,81,317,1
89064,m,49512,3,67,231,1
25360,m,41372,3,90,292,0
31207,f,48688,3,81,385,1
30052,f,47687,1,95,466,0
67106,m,45274,2,91,269,1
47259,m,46789,2,71,74,1
43526,m,48089,3,68,411,1
61963,m,41084,2,66,307,1
55610,m,47094,1,99,435,1
64425,f,47963,2,94,422,1
7333,f,40737,2,91,208,1
30828,f,49640,1,86,110,1
47278,m,44403,1,78,212,0
87363,f,42160,2,93,288,1
32151,f,40682,2,74,335,0
20594,f,41988,2,62,58,1
44421,m,43555,2,88,44,0
35552,f,49486,2,92,197,1
41172,f,42156,2,65,263,0
59694,m,45867,2,88,405,0
12872,f,48599,3,88,24,0
45537,f,40553,3,88,264,0
70957,m,46620,1,85,47,1
4947,m,42438,1,97,235,1
64427,m,45996,3,68,147,1
43526,m,43169,3,72,319,0
45199,f,49218,3,73,202,1
4270,f,46481,2,87,11,1
30871,f,43280,1,71,167,0
45006,f,40610,2,89,372,0
65886,m,47649,2,90,186,1
81994,f,40673,1,75,270,0
79830,m,46796,3,63,462,0
12872,f,48761,1,73,246,1
55875,m,43314,1,69,297,0
67108,f,47337,3,66,475,0
60635,f,46028,2,67,364,1
65886,f,47325,1,62,193,1
64537,f,40931,1,95,181,0
531,f,44945,2,83,428,0
83669,f,46646,2,90,183,0
38859,m,48963,1,85,26,1
28488,f,44061,2,91,119,1
49246,m,41625,3,66,364,0
40323,m,43890,1,76,22,0
82157,f,46014,3,74,174,0
64086,m,40381,2,79,244,1
1191,f,44442,1,62,13,1
46967,f,47084,1,98,59,0
30212,m,42126,1,88,79,0
74991,m,48378,1,61,330,0
20960,m,46735,2,68,80,1
99437,m,46207,2,96,445,1
54227,m,40844,2,63,301,0
4947,m,49964,2,94,343,1
85020,f,48523,1,96,325,0
17386,m,43372,1,71,191,1
73267,f,49170,1,93,352,0
34941,f,43670,1,95,220,0
17386,f,47824,1,67,393,0
29736,f,40650,2,99,252,1
45402,m,44046,1,94,20,0
35100,f,45600,3,84,97,0
27669,m,40385,1,68,18,1
51436,f,44061,2,94,207,0
94687,m,47669,2,91,299,1
37246,m,47806,3,90,314,1
25083,f,45504,2,81,243,1
67769,m,42498,1,69,4,1
31576,m,48995,2,62,447,1
71911,f,41249,2,65,323,0
4920,m,42515,3,69,124,1
6161,f,42441,3,72,218,0
5997,m,49031,1,84,332,0
40131,f,49583,2,70,404,0
50798,m,44300,2,83,319,1
54227,m,42648,3,84,22,0
28941,m,41130,3,91,346,1
38823,m,42030,1,73,368,1
28488,f,47887,1,92,374,0
6378,m,42515,1,80,175,0
12128,f,42266,3,62,142,0
27813,f,49362,3,75,232,1
72452,m,42643,1,89,114,0
84159,f,49622,3,81,71,0
50918,m,41377,3,74,110,1
69227,m,45510,2,77,87,0
51913,f,40412,1,62,135,1
6372,m,44356,2,62,396,1
32094,f,41231,3,62,389,1
31206,f,42578,2,73,416,1
51913,f,48599,2,76,204,1
87059,m,47649,2,97,108,1
22425,f,41664,2,64,143,0
13606,m,40748,2,65,233,1
81324,m,45942,3,70,140,0
6378,m,46375,2,78,33,0
82157,f,42919,3,92,464,1
1376,f,40172,3,87,109,0
74580,m,42722,1,67,314,1
64425,f,44070,3,81,86,0
17566,f,42579,3,87,475,1
1090,m,45947,1,98,88,0
61692,f,49119,3,99,170,0
45402,m,40658,2,73,342,0
78114,f,48294,3,85,362,0
51164,m,43978,3,72,450,1
76301,m,44136,3,77,445,1
49443,m,48523,1,75,194,1
87363,m,49096,2,70,143,1
71911,f,49446,1,94,315,0
28223,f,45984,1,91,307,0
16869,f,45960,1,78,346,1
29033,f,42234,1,77,388,0
94765,f,43867,2,78,401,1
30828,m,49479,2,98,404,1
38619,m,41054,1,73,39,0
96969,f,45904,3,75,147,1
65775,f,45647,1,89,390,0
35173,m,45331,1,90,344,0
79730,f,45818,2,75,451,0
15523,m,40918,3,87,314,1
10794,m,43447,1,93,57,1
26479,m,46243,2,92,24,0
73267,f,47953,2,71,255,1
83827,m,43348,1,75,333,0
14396,m,49290,1,72,366,0
61522,f,43356,3,78,467,1
62638,m,48061,3,78,157,1
30753,m,44135,2,81,273,1
88400,f,44094,2,74,128,1
57287,m,42515,3,73,280,0
12127,m,43931,2,68,340,0
30212,f,49266,3,67,395,1
74135,f,48459,3,98,80,1
28157,f,48540,3,84,402,0
35778,f,42046,3,63,285,0
90948,m,46028,3,81,124,1
38155,f,40668,1,61,381,1
48639,f,43117,2,91,264,0
81671,m,40518,3,79,390,0
88327,m,40892,1,87,36,1
32448,m,42231,3,85,248,1
87586,f,44011,2,87,67,0
62535,m,47609,1,71,116,0
62433,f,49996,3,62,319,1
11051,f,48578,2,74,34,0
13222,m,40048,2,83,311,1
77529,f,42355,3,87,445,0
34280,f,40215,1,63,102,1
92009,f,40484,3,96,18,0
81865,f,41257,1,65,447,0
46131,m,42787,2,67,81,1
82474,f,42980,2,68,136,0
56358,m,47068,2,98,467,1
42808,f,40844,2,95,162,0
40131,m,43870,3,75,187,0
18457,f,44946,3,88,64,1
9756,m,49964,3,77,94,1
31890,f,47797,1,98,14,1
52141,m,45830,3,79,167,1
66781,m,40606,3,83,57,1
96589,m,47041,2,60,76,0
80789,m,45958,1,99,290,1
68512,m,43867,1,99,343,1
40284,m,40588,3,85,72,1
22361,f,40796,1,83,145,0
79359,f,44098,3,65,232,1
83615,f,41268,3,60,87,0
93106,f,44085,2,65,120,1
13128,f,48022,2,74,174,1
6393,m,42851,1,99,316,1
56504,f,47989,2,99,466,0
51574,f,49020,2,76,161,1
61522,m,49032,1,86,232,0
10582,m,46175,2,81,11,0
18607,m,46780,2,94,274,0
62839,m,41372,1,85,106,0
32447,f,49906,3,85,60,1
72006,f,41742,2,90,160,1
59925,m,40247,2,98,317,1
83024,f,44058,1,82,127,0
27613,m,49588,2,87,277,0
40364,m,48289,1,93,21,1
