Year,Model,Price,Mileage,Color,Transmission
2002,SES,8463,75832,White,Manual
2000,SES,20942,84846,Red,Manual
2011,SES,18493,20340,Gold,Auto
2010,SE,18699,66346,Green,Auto
2000,SE,16190,119660,Red,Manual
2010,SE,10266,32901,Gold,Manual
2003,SES,12449,131066,Green,Manual
2007,SES,21297,138603,Gray,Auto
2010,SEL,11046,24049,Black,Manual
2005,SES,13304,95189,Blue,Manual
2001,SEL,7741,76633,Gold,Manual
2007,SEL,19557,142106,Black,Auto
2000,SEL,9753,64333,Yellow,Manual
2006,SEL,7264,97694,Blue,Auto
2005,SEL,14627,124215,White,Auto
2009,SEL,9999,86043,Yellow,Auto
2003,SES,8259,89295,Gold,Manual
2001,SEL,18885,36461,White,Manual
2006,SEL,6223,20259,Green,Manual
2002,SE,9942,17325,Gray,Manual
2008,SES,16053,8962,Red,Auto
2010,SE,9719,124979,Gold,Manual
2000,SES,11743,82840,Blue,Manual
2000,SE,21564,95456,Green,Auto
2000,SE,10617,113629,Green,Manual
2011,SES,20467,141147,Black,Manual
2008,SEL,15758,96947,Yellow,Manual
2008,SEL,5003,104285,Gold,Manual
2003,SES,6538,14060,Black,Auto
2004,SE,14918,142210,Silver,Manual
2007,SES,5045,144553,Silver,Manual
2000,SEL,5146,27494,White,Auto
2000,SES,17472,109338,Gold,Auto
2009,SE,12370,35983,Black,Manual
2006,SEL,4973,142954,White,Auto
2003,SES,9097,112405,Silver,Auto
2008,SEL,14521,20340,Red,Manual
2011,SE,3832,57416,Gold,Auto
2004,SES,13060,54100,Gold,Manual
2002,SES,3832,32235,Silver,Auto
2007,SE,12244,84876,Black,Auto
2006,SES,5249,107171,Gray,Manual
2005,SEL,9752,58505,White,Manual
2009,SEL,4897,125640,Black,Manual
2010,SE,8328,16095,Gray,Manual
2011,SES,11855,104631,Silver,Auto
2010,SES,10675,12025,White,Manual
2002,SE,15959,110530,White,Manual
2003,SES,8380,22972,Black,Auto
2004,SEL,8859,82715,Green,Manual
2001,SE,10825,119192,White,Manual
2004,SES,21808,103559,White,Manual
2001,SE,4948,124183,Gray,Auto
2011,SEL,12952,49583,Gray,Manual
2004,SE,14014,62976,Yellow,Auto
2000,SEL,15696,20492,Black,Manual
2004,SES,9918,25782,White,Auto
2007,SES,21080,34242,Red,Manual
2007,SES,14734,53421,Blue,Auto
2004,SES,20174,68020,Gold,Manual
2007,SES,14006,50523,Yellow,Manual
2004,SE,7669,80164,Red,Manual
2007,SES,11694,19987,Red,Manual
2001,SES,12236,6497,Red,Auto
2008,SE,9224,24342,Yellow,Auto
2003,SEL,4866,74091,White,Auto
2001,SEL,16575,49411,Yellow,Manual
2009,SES,9781,55547,Gold,Auto
2005,SE,11543,120228,Gold,Auto
2006,SE,9615,94301,Gray,Manual
2005,SES,14479,31154,Gray,Auto
2004,SE,10964,9135,Black,Auto
2002,SE,10443,15630,Black,Manual
2007,SES,8500,120135,White,Manual
2002,SEL,20604,91199,Gray,Manual
2010,SEL,10650,72129,Black,Auto
2003,SES,20885,149274,Gold,Auto
2008,SE,4286,118627,Gold,Auto
2005,SE,10617,42004,White,Manual
2005,SES,18975,100542,Gold,Manual
2003,SE,3832,27769,Gold,Auto
2002,SES,6714,134714,Green,Auto
2007,SES,17408,63577,Black,Manual
2002,SEL,6707,107133,Gray,Auto
2011,SES,7334,133396,Blue,Auto
2006,SE,16255,99279,Silver,Auto
2011,SE,15740,114473,Green,Auto
2001,SES,21896,33714,Black,Auto
2010,SES,19301,142086,Blue,Manual
2005,SEL,16053,25416,White,Manual
2005,SEL,7310,12190,Green,Auto
2011,SES,4112,133242,Red,Manual
2006,SEL,14682,149660,Red,Manual
2006,SES,20989,29788,Blue,Auto
2011,SES,7725,34211,Silver,Auto
2001,SEL,14357,74878,Yellow,Manual
2001,SEL,11269,78970,White,Auto
2001,SES,20817,55904,Green,Manual
2001,SES,16174,148001,Yellow,Auto
2010,SES,7698,80866,Gold,Manual
2002,SEL,8551,90170,White,Manual
2011,SEL,20475,86975,Green,Auto
2001,SE,14498,83124,White,Auto
2002,SEL,7760,94024,Gold,Manual
2003,SEL,15375,125750,Blue,Auto
2004,SES,5886,42173,Gold,Auto
2002,SE,13943,91618,Silver,Manual
2000,SE,4845,147122,Yellow,Manual
2006,SES,21297,94203,Yellow,Manual
2008,SES,17320,104564,Black,Auto
2008,SES,4048,121090,Gray,Manual
2009,SEL,20174,108394,Black,Manual
2004,SE,8279,49086,Yellow,Auto
2011,SE,21535,61727,Black,Auto
2010,SEL,19837,90690,Silver,Manual
2007,SE,11694,129545,Blue,Manual
2011,SE,15338,126982,Red,Auto
2002,SES,20790,117005,Gold,Manual
2006,SEL,6644,40344,Green,Manual
2007,SEL,17068,149967,Gold,Manual
2005,SEL,9449,99648,Green,Manual
2009,SE,16923,22812,White,Manual
2006,SE,15840,15063,Blue,Auto
2002,SES,9937,37135,Silver,Auto
2000,SE,21560,123698,Red,Manual
2004,SES,10019,113043,Gold,Auto
2001,SEL,13540,109393,White,Manual
2000,SES,9614,29963,Silver,Auto
2001,SE,13805,110529,Yellow,Manual
2011,SE,9761,24342,Gray,Auto
2008,SE,21462,91343,Gold,Auto
2007,SEL,9138,87246,Black,Manual
2010,SE,4923,53555,Red,Manual
2007,SES,21640,75467,Blue,Manual
2008,SE,8384,96102,Yellow,Auto
2002,SEL,5169,94264,Gold,Manual
2011,SE,5475,144842,Yellow,Auto
2011,SES,6362,110149,White,Manual
2011,SES,15128,20214,Yellow,Auto
2004,SE,19331,71981,White,Auto
2005,SEL,11559,65776,Yellow,Manual
2008,SES,10329,101280,Silver,Manual
2004,SES,19815,125187,Silver,Auto
2003,SES,11729,16727,Silver,Auto
2001,SES,8259,120693,Silver,Auto
2000,SE,10270,94457,Gold,Auto
2004,SES,6277,148303,Black,Manual
2008,SE,17194,107587,Blue,Manual
2003,SE,18110,6792,Red,Manual
2005,SE,5682,102160,Silver,Auto
2010,SES,17682,81016,White,Manual
2003,SEL,17438,92387,Blue,Manual
2003,SE,3940,53027,Yellow,Auto
2006,SES,15560,46271,Black,Manual
2003,SES,14066,29437,Blue,Manual
2008,SEL,7863,18710,Black,Auto
2000,SEL,9719,13528,Green,Manual
2007,SES,16519,39986,Black,Auto
2004,SEL,21570,124838,Gold,Manual
2001,SEL,11334,36093,Silver,Manual
2011,SE,21640,22094,Blue,Manual
2001,SES,8792,54098,White,Manual
2010,SEL,18127,141782,Gold,Auto
2005,SE,20345,71211,Blue,Auto
2007,SE,5745,148430,Gray,Auto
2008,SES,21787,133851,Green,Auto
2005,SEL,15925,90242,Blue,Auto
2009,SEL,14540,34799,Green,Manual
2008,SEL,12699,6792,Blue,Manual
2011,SES,18644,122561,Black,Auto
2009,SE,10925,115773,Gold,Manual
2005,SE,7963,73867,Gray,Manual
2000,SEL,8855,88651,Yellow,Manual
2003,SES,10096,37140,Yellow,Manual
2002,SES,8467,87770,Green,Manual
